source_benefit_id,merchant_list
15-06,스타벅스
46-04,스타벅스
50-04,스타벅스
51-04,CGV|롯데시네마
53-03,스타벅스
54-03,아웃백스테이크하우스
55-01,CU
55-02,배달의민족
56-03,VIPS|계절밥상
57-03,VIPS|계절밥상
62-07,CGV
63-04,CGV|롯데시네마
116-06,맥스무비
184-05,CGV
242-02,스타벅스
242-03,CGV|롯데시네마
243-02,스타벅스
243-03,CGV|롯데시네마
244-03,스타벅스
244-04,CGV|롯데시네마
245-03,스타벅스
245-04,CGV|롯데시네마
273-06,CGV|롯데시네마
331-06,인터넷교보문고|인터넷영풍문고|Yes24
343-03,CGV
351-04,CGV
392-04,스타벅스
393-02,CGV
394-02,CGV
405-05,교보문고(온라인 포함)|Yes24
503-05,쇼핑
504-05,쇼핑
542-05,CGV|롯데시네마
550-05,교보문고(온라인 포함)|Yes24
568-03,CGV|롯데시네마
616-02,다이소
659-03,스트리밍
677-01,배달의민족
718-05,스트리밍
788-06,CGV
1544-03,인터파크
1599-07,스타벅스
1818-03,스타벅스|투썸플레이스
2082-07,도서
2147-04,롯데시네마
2330-08,넷플릭스|유튜브|왓챠|멜론|지니뮤직|디즈니 플러스
2392-05,CGV
2422-06,넷플릭스|유튜브프리미엄
2422-07,배달의 민족|요기요
2422-09,CGV
2422-10,에버랜드|롯데월드
2423-06,넷플릭스|유튜브프리미엄
2423-07,배달의 민족|요기요
2423-09,CGV
2423-10,에버랜드|롯데월드
2460-04,스타벅스
2550-06,넷플릭스|유튜브프리미엄
2550-07,배달의민족|요기요
2550-09,CGV
2550-10,에버랜드|롯데월드
2563-04,CGV
2564-06,CGV|롯데시네마|메가박스
2588-06,넷플릭스|유튜브프리미엄
2588-07,배달의 민족|요기요
2588-09,CGV
2588-10,에버랜드|롯데월드
2631-04,스타벅스
2914-03,CGV
