alias,canonical_merchant,category,match_type,priority,source
KGINICISMUSINSA,무신사,마트/쇼핑,normalized_contains,140,manual
KG이니시스무신사,무신사,마트/쇼핑,normalized_contains,140,manual
NAVERPAYOLIVEYOUNG,올리브영,뷰티/피트니스,normalized_contains,140,manual
네이버페이올리브영,올리브영,뷰티/피트니스,normalized_contains,140,manual
MUSINSA,무신사,마트/쇼핑,normalized_contains,125,manual
STARBUCKS COFFEE,스타벅스,카페/디저트,normalized_contains,125,manual
무신사,무신사,마트/쇼핑,normalized_contains,125,manual
CJ올리브영,올리브영,뷰티/피트니스,normalized_contains,120,manual
COUPANG,쿠팡,마트/쇼핑,normalized_contains,120,manual
COUPANG PAY,쿠팡,마트/쇼핑,normalized_contains,120,manual
COUPANG PAYMENTS,쿠팡,마트/쇼핑,normalized_contains,120,manual
GS 25,GS25,편의점,normalized_contains,120,manual
GS CALTEX,GS칼텍스,주유,normalized_contains,120,manual
GS칼텍스,GS칼텍스,주유,normalized_contains,120,manual
HD현대오일뱅크,현대오일뱅크,주유,normalized_contains,120,manual
HYUNDAI DEPARTMENT,현대백화점,백화점,normalized_contains,120,manual
OLIVE YOUNG,올리브영,뷰티/피트니스,normalized_contains,120,manual
OLIVEYOUNG,올리브영,뷰티/피트니스,normalized_contains,120,manual
S-OIL,S-OIL,주유,normalized_contains,120,manual
SK ENERGY,SK에너지,주유,normalized_contains,120,manual
SK에너지,SK에너지,주유,normalized_contains,120,manual
STARBUCKS,스타벅스,카페/디저트,normalized_contains,120,manual
배달의민족,배달의민족,배달앱,normalized_contains,120,manual
스타벅스커피코리아,스타벅스,카페/디저트,normalized_contains,120,manual
스타벅스코리아,스타벅스,카페/디저트,normalized_contains,120,manual
에쓰오일,S-OIL,주유,normalized_contains,120,manual
지에스25,GS25,편의점,normalized_contains,120,manual
쿠팡페이,쿠팡,마트/쇼핑,normalized_contains,120,manual
현대백화점,현대백화점,백화점,normalized_contains,120,manual
현대오일뱅크,현대오일뱅크,주유,normalized_contains,120,manual
CU편의점,CU,편의점,normalized_contains,115,manual
GOOGLE YOUTUBE,유튜브,구독/멤버십,normalized_contains,115,manual
더현대,현대백화점,백화점,normalized_contains,115,manual
11ST,11번가,마트/쇼핑,normalized_contains,110,manual
11번가,11번가,마트/쇼핑,normalized_contains,110,manual
7ELEVEN,세븐일레븐,편의점,normalized_contains,110,manual
A TWOSOME PLACE,투썸플레이스,카페/디저트,normalized_contains,110,manual
AUCTION,옥션,마트/쇼핑,normalized_contains,110,manual
BAEMIN,배달의민족,배달앱,normalized_contains,110,manual
CGV,CGV,영화/문화,normalized_contains,110,manual
EDIYA,이디야,카페/디저트,normalized_contains,110,manual
EMART24,이마트24,편의점,normalized_contains,110,manual
GMARKET,G마켓,마트/쇼핑,normalized_contains,110,manual
G마켓,G마켓,마트/쇼핑,normalized_contains,110,manual
KAKAO T,카카오T,교통,normalized_contains,110,manual
KORAIL,코레일,교통,normalized_contains,110,manual
LOTTE CINEMA,롯데시네마,영화/문화,normalized_contains,110,manual
MEGABOX,메가박스,영화/문화,normalized_contains,110,manual
NETFLIX,넷플릭스,구독/멤버십,normalized_contains,110,manual
SPOTIFY,스포티파이,구독/멤버십,normalized_contains,110,manual
TMONEY,티머니,교통,normalized_contains,110,manual
YOGIYO,요기요,배달앱,normalized_contains,110,manual
YOUTUBE,유튜브,구독/멤버십,normalized_contains,110,manual
롯데시네마,롯데시네마,영화/문화,normalized_contains,110,manual
메가박스,메가박스,영화/문화,normalized_contains,110,manual
배민,배달의민족,배달앱,normalized_contains,110,manual
